channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
97,1,3622,4.36,0.756,True,15,no_sample,AUC747,2.332,1.584,0,0,0,2.369,1.604,9.511,16.854,24.633,-10,-20,-30,2.477,2.34,1.584,0,unavailable,0,1171,939,214.9,1.93,0,1,0,-195,3,0,13219,,,4808,0.0,0,26495,0,0,7507,0
98,1,22376,3.2,0.745,True,56,no_sample,AUC747,1.597,1.575,0,1,1,1.595,1.527,8.668,15.962,23.576,-10,-20,-30,1.554,1.539,1.568,0,single_pore,0,5421,752,213.61,1.67,0,1,0,-195,3,5788,13143,113.55,65.2,33641,0.0,0,5004,0,0,3446,0
99,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
100,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
101,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
102,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
103,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
104,1,2859,3.75,0.764,True,4,no_sample,AUC747,1.8,1.778,0,1,1,1.845,1.784,9.157,16.611,24.44,-10,-20,-30,1.897,1.851,1.765,0,single_pore,0,3376,203,216.63,1.77,0,1,0,-195,3,14497,5006,114.1,57.7,20736,0.0,0,30042,0,0,1188,0
105,1,0,53.71,0.709,False,0,no_sample,AUC747,0.762,1.584,0,0,0,0.877,1.605,5.667,10.076,19.856,-10,-20,-30,-4.036,1.078,1.612,0,unavailable,0,0,6,,,0,1,0,-195,3,0,0,,,0,0.0,0,43736,0,0,0,240
106,1,12637,3.76,0.763,True,175,no_sample,AUC747,1.167,1.59,0,1,1,1.237,1.587,8.494,15.936,23.754,-10,-20,-30,1.046,1.268,1.599,0,single_pore,0,5008,1050,215.97,1.69,0,1,0,-195,3,4860,10009,114.23,63.7,22680,0.0,0,12478,0,0,7751,0
107,1,11052,4.74,0.765,True,62,no_sample,AUC747,1.618,1.58,0,1,1,1.675,1.564,8.892,16.304,24.19,-10,-20,-30,1.515,1.648,1.568,0,single_pore,0,23478,709,215.15,1.66,0,1,0,-195,3,1132,0,116.59,67.6,35724,0.0,0,11550,0,0,6497,0
108,1,0,3.64,0.747,True,12,no_sample,AUC747,1.488,1.573,0,0,0,1.536,1.564,8.568,15.854,23.504,-10,-20,-30,1.387,1.571,1.562,0,unavailable,0,7590,509,203.76,1.68,0,1,0,-195,3,0,12699,,,7602,0.0,0,24077,0,0,7980,0
