channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
91,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
92,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
93,1,5613,3.3,0.759,True,77,no_sample,AUY346,2.186,1.319,0,1,1,2.225,1.279,9.299,16.721,24.473,-10,-20,-30,2.181,2.177,1.308,0,single_pore,0,14894,276,212.39,1.59,0,1,0,-195,2,3490,0,118.76,71.6,24074,0.0,0,29421,0,0,4005,0
94,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
95,1,0,13.3,0.518,True,270,no_sample,AUY346,0.436,1.3,0,0,0,0.772,1.331,5.857,10.371,16.215,-10,-20,-30,0.767,0.328,1.321,0,unavailable,0,163,1000,194.32,2.95,0,1,0,-195,2,0,18535,,,433,0.0,0,18996,0,0,6217,9323
96,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
97,1,0,3.86,0.637,True,0,no_sample,AUY346,2.252,1.264,0,0,0,2.252,1.296,8.436,14.61,21.17,-10,-20,-30,3.141,2.296,1.252,0,other,0,0,55141,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
98,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
99,1,11037,2.51,0.725,True,35,no_sample,AUY346,1.923,1.28,0,1,1,1.889,1.27,8.815,15.94,23.316,-10,-20,-30,2.098,1.915,1.253,0,single_pore,0,11749,551,205.73,1.54,0,1,0,-195,2,11593,0,112.41,60.0,34414,0.0,0,17542,0,0,2291,0
100,1,21985,2.12,0.72,True,86,no_sample,AUY346,1.562,1.239,0,1,1,1.706,1.186,8.502,15.6,22.91,-10,-20,-30,1.751,1.683,1.217,0,single_pore,0,13023,835,203.8,1.43,0,1,0,-195,2,2886,0,117.39,63.7,37980,0.0,0,11670,0,0,3950,0
101,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
102,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
103,1,3947,5.0,1.46,False,44,no_sample,AUY346,5.482,1.431,0,0,0,5.571,1.447,19.406,33.757,48.608,-10,-20,-30,3.232,5.634,1.493,141,multiple,0,14531,26835,223.04,2.2,0,1,0,-195,2,2359,0,133.86,63.7,0,0.0,0,0,0,0,7400,0
104,1,64,4.59,1.502,False,96,no_sample,AUY346,4.559,1.408,0,0,0,4.641,1.422,18.7,33.495,48.749,-10,-20,-30,2.394,4.603,1.406,3993,multiple,0,2063,47649,240.02,3.49,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,1074,0
105,1,0,0.29,0.91,True,64,no_sample,AUY346,2.739,1.336,0,0,0,2.097,1.341,12.199,21.283,30.396,-10,-20,-30,3.402,1.944,1.301,209,multiple,0,0,53384,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,1163,74
106,1,0,12.63,0.186,False,0,no_sample,AUY346,-0.289,1.253,0,0,0,-0.031,1.254,1.734,2.965,5.459,-10,-20,-30,-2.491,-0.204,1.269,0,unavailable,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,43301,0,0,0,0
107,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
108,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
109,1,0,2.34,0.644,True,0,no_sample,AUY346,1.884,1.191,0,0,0,1.937,1.184,8.129,14.448,21.001,-10,-20,-30,2.567,1.94,1.155,0,unavailable,0,0,40159,,,0,1,0,-195,2,0,0,,,0,0.0,0,13669,0,0,0,0
110,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
111,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
112,1,608,1.23,0.675,True,3,no_sample,AUY346,2.39,1.262,0,0,0,2.447,1.214,8.933,15.622,22.434,-10,-20,-30,3.202,2.425,1.224,0,unavailable,0,3085,16889,182.09,1.77,0,1,0,-195,2,1954,11004,114.0,48.1,5650,0.0,0,22660,0,0,0,0
113,1,0,-0.38,0.638,True,0,no_sample,AUY346,1.494,1.253,0,0,0,1.609,1.238,7.678,14.08,20.444,-10,-20,-30,2.039,1.613,1.251,0,other,0,0,36523,,,0,1,0,-195,2,5001,15018,113.72,53.6,5001,0.0,0,0,0,0,0,0
114,1,0,-1.73,0.656,True,0,no_sample,AUY346,1.463,1.291,0,0,0,1.957,1.26,8.523,15.166,21.636,-10,-20,-30,3.042,2.062,1.226,0,unavailable,0,0,5003,,,0,1,0,-195,2,0,0,,,0,0.0,0,41077,0,0,0,0
115,1,8019,3.66,0.746,True,13,no_sample,AUY346,2.469,1.391,0,1,1,2.496,1.39,9.544,16.817,24.456,-10,-20,-30,2.714,2.508,1.391,0,single_pore,0,35507,5959,207.45,1.5,0,1,0,-195,2,3964,0,111.12,60.8,47503,0.0,0,0,0,0,2678,0
116,1,12352,5.35,0.747,True,69,no_sample,AUY346,2.498,1.471,0,1,1,2.52,1.479,9.506,16.706,24.441,-10,-20,-30,2.601,2.452,1.48,0,single_pore,0,24348,245,210.82,1.75,0,1,0,-195,2,5851,0,116.09,64.1,42620,0.0,0,0,0,0,12322,0
117,1,6875,2.83,0.748,True,78,no_sample,AUY346,2.165,1.272,0,1,1,2.244,1.247,9.304,16.643,24.265,-10,-20,-30,2.372,2.251,1.246,0,single_pore,0,5795,362,213.5,1.46,0,1,0,-195,2,2616,0,119.2,59.7,15364,0.0,0,21452,0,0,7916,0
118,1,0,0.33,0.015,False,0,no_sample,AUY346,-0.918,1.176,0,0,0,-1.034,1.173,-1.06,-1.228,-1.363,-10,-20,-30,60.014,-0.957,1.148,0,zero,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,55269
119,1,875,-4.06,0.637,True,0,no_sample,AUY346,1.027,1.162,0,0,0,1.109,1.144,6.308,12.877,19.04,-10,-20,-30,0.008,1.163,1.148,0,unavailable,0,1254,43507,181.48,1.92,0,1,0,-195,2,1984,0,127.79,45.6,4113,0.0,0,5015,0,0,5911,0
120,1,5745,2.4,0.742,True,26,no_sample,AUY346,2.563,1.391,0,1,1,2.586,1.365,9.486,16.783,24.32,-10,-20,-30,2.734,2.59,1.409,0,single_pore,0,17169,34,205.77,1.78,0,1,0,-195,2,4868,0,113.22,56.9,27808,0.0,0,23688,0,0,3723,0
121,1,0,4.74,0.603,True,52,no_sample,AUY346,1.35,1.257,0,0,0,1.827,1.295,7.027,12.823,19.093,-10,-20,-30,1.506,1.475,1.308,0,unavailable,0,0,1317,,,0,1,0,-195,2,0,0,,,52,0.0,0,43000,0,0,8327,0
122,1,0,2.34,0.425,True,0,no_sample,AUY346,0.897,1.297,0,0,0,1.054,1.278,5.399,9.531,13.897,-10,-20,-30,2.609,0.523,1.272,0,unavailable,0,0,0,,,0,1,0,-195,2,0,5012,,,0,0.0,0,30067,0,0,5000,0
123,1,0,2.8,0.525,True,0,no_sample,AUY346,0.685,1.255,0,0,0,0.489,1.259,5.642,10.755,16.148,-10,-20,-30,0.647,0.337,1.261,0,unavailable,0,0,0,,,0,1,0,-195,2,5001,41813,106.18,32.7,5001,0.0,0,5008,0,0,0,0
124,1,0,1.46,0.613,True,0,no_sample,AUY346,1.824,1.276,0,0,0,1.842,1.3,7.646,13.7,19.9,-10,-20,-30,2.438,1.821,1.291,0,unavailable,0,0,55397,,,0,1,0,-195,2,0,0,,,0,0.0,0,174,0,0,0,174
125,1,349,8.47,1.33,False,151,no_sample,AUY346,4.577,1.295,0,0,0,4.533,1.288,17.075,29.951,43.674,-10,-20,-30,2.725,4.578,1.317,1607,multiple,0,0,8425,,,0,1,0,-195,2,0,0,,,0,0.0,0,43799,0,0,3085,0
126,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
